iat,identifier,jti,amount,unsignedToken
1466151038,stefan,079fed094c053ae991f96f60a7b05c60,1,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJzaGFyZXMiOiIxIiwianRpIjoiMDc5ZmVkMDk0YzA1M2FlOTkxZjk2ZjYwYTdiMDVjNjAiLCJpYXQiOjE0NjYxNTEwMzgsImlzcyI6InN0ZWZhbi5jby5qcCJ9
1466564652,stefan,8b61550e37f347a5752dbec5f47fe48e,1,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJzaGFyZXMiOiIxIiwianRpIjoiOGI2MTU1MGUzN2YzNDdhNTc1MmRiZWM1ZjQ3ZmU0OGUiLCJpYXQiOjE0NjY1NjQ2NTIsImlzcyI6InN0ZWZhbi5jby5qcCJ9
